content_id,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
4.16E+18,My favorite people and resources to learn Android programming from,Firebase and Google Cloud: better together,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic
4.76E+18,5 reasons your employees aren't sharing their knowledge,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Top 10 Intranet Trends of 2016,Nespresso
5.05E+18,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Não existe frete grátis!,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,What Apple's differential privacy means for your data and the future of machine learning,Infográfico: Algoritmos para Aprendizado de Máquina
5.29E+18,Meio&Mensagem,Two Different Sales Motions . . . .,Accenture amplia atuação no Brasil,The need to lead in data and analytics,7 Questions to Ask Before Your Next Digital Transformation
5.96E+18,Chat Smarter with Allo,Google lags behind Amazon and Microsoft's cloud in one important area,Graph Capabilities with the Elastic Stack,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,This startup uses machine learning and satellite imagery to predict crop yields
6.91E+18,Graph Capabilities with the Elastic Stack,Eclipse Foundation Releases Neon,Plano nacional de ''internet das coisas'' sai em fevereiro,Código Google: Introdução da próxima geração do Google Tag Manager e do Tag Manager 360 para Mobile Apps,How Do Top Android Developers QA Test Their Apps?
7.54E+18,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Transfer Style But Not Color,Docker 1.12: Now with Built-in Orchestration!,Powering a more connected and collaborative enterprise
7.66E+18,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Making open source data more available,Bayer anuncia compra da Monsanto por US$ 66 bilhões,"No, Apple isn't the next BlackBerry - it's the next Microsoft","contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object"
8.34E+18,Acesse a versão Material Design do YouTube | Google Discovery,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Progressive Web App - first introduced on Google I/O | airberlin,Touch (TV Series 2012-2013),How I sped up the initial render of my Polymer app by 86%
8.73E+18,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Will blockchain drive the fourth Industrial Revolution?,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,big data = real time
8.85E+18,Google acquires deep search engine Kifi to enhance its Spaces group chat app,This startup uses machine learning and satellite imagery to predict crop yields,Algorithms and architecture for job recommendations,"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs","Amazon open-sources its own deep learning software, DSSTNE"
